id,topic,stem,human_spec_adherence,human_distractor_mapping,human_task_quality,notes
gen_00355,cellular_respiration,What is the direct role of oxygen in the electron transport chain?,,,,
gen_00763,cellular_respiration,What happens to cellular respiration when oxygen is not available?,,,,
gen_01422,genetics,"In a plant, flower color (purple, R) is dominant to white (r), and pod shape (inflated, I) is dominant to constricted (i",,,,
gen_01265,genetics,"In a plant, wing shape (straight, W) is dominant to curled (w), and eye color (red, E) is dominant to sepia (e). The gen",,,,
gen_01045,genetics,"In a plant, plant height (tall, T) is dominant to short (t), and pod color (green, G) is dominant to yellow (g). The gen",,,,
gen_00875,cellular_respiration,Which statement correctly describes how most ATP is produced in aerobic respiration?,,,,
gen_01058,genetics,"In a plant, flower color (purple, R) is dominant to white (r), and eye color (red, E) is dominant to sepia (e). The gene",,,,
gen_01294,genetics,"In a plant, plant height (tall, T) is dominant to short (t), and seed shape (round, B) is dominant to wrinkled (b). The ",,,,
gen_01255,enzymes,What is a correct limit on what an enzyme does to a reaction?,,,,
gen_01154,cellular_respiration,What is true of glycolysis in a typical cell?,,,,
gen_00384,enzymes,Which statement about temperature and pH effects on enzymes is correct?,,,,
gen_01467,cellular_respiration,"During aerobic respiration, oxygen acts primarily as which of the following?",,,,
gen_01303,genetics,"In a plant, pod shape (inflated, I) is dominant to constricted (i), and flower position (axial, F) is dominant to termin",,,,
gen_01209,genetics,"In a plant, flower position (axial, F) is dominant to terminal (f), and flower color (purple, R) is dominant to white (r",,,,
gen_00874,genetics,"In a plant, fur length (short, S) is dominant to long (s), flower position (axial, F) is dominant to terminal (f), and p",,,,
gen_00057,cellular_respiration,Which statement about glycolysis is correct?,,,,
gen_00955,genetics,"In a plant, eye color (red, E) is dominant to sepia (e), and pod shape (inflated, I) is dominant to constricted (i). The",,,,
gen_00015,enzymes,How does an enzyme increase the rate of a chemical reaction?,,,,
gen_01343,genetics,"In a plant, seed color (yellow, A) is dominant to green (a), seed shape (round, B) is dominant to wrinkled (b), and flow",,,,
gen_00828,genetics,"In a plant, hair texture (curly, H) is dominant to straight (h), and pod shape (inflated, I) is dominant to constricted ",,,,
gen_01009,genetics,"In a plant, fur length (short, S) is dominant to long (s), coat color (black, C) is dominant to brown (c), and eye color",,,,
gen_00557,cellular_respiration,Why does fermentation matter when oxygen is unavailable?,,,,
gen_01312,genetics,"In a plant, flower color (purple, R) is dominant to white (r), fur length (short, S) is dominant to long (s), and coat c",,,,
gen_00249,genetics,"In a plant, seed shape (round, B) is dominant to wrinkled (b), and coat color (black, C) is dominant to brown (c). The g",,,,
gen_00224,enzymes,What does it mean that enzymes are specific?,,,,
gen_00771,cellular_respiration,Which statement about glycolysis is correct?,,,,
gen_00648,cellular_respiration,"In a cell with plenty of oxygen, where does the bulk of ATP come from?",,,,
gen_01256,cellular_respiration,Which statement about glycolysis is correct?,,,,
gen_00359,genetics,"In a plant, plant height (tall, T) is dominant to short (t), fur length (short, S) is dominant to long (s), and pod colo",,,,
gen_00100,genetics,"In a plant, eye color (red, E) is dominant to sepia (e), plant height (tall, T) is dominant to short (t), and flower pos",,,,
gen_01460,genetics,"In a plant, seed color (yellow, A) is dominant to green (a), and pod color (green, G) is dominant to yellow (g). The gen",,,,
gen_00333,enzymes,What is a correct limit on what an enzyme does to a reaction?,,,,
gen_01490,genetics,"In a plant, pod shape (inflated, I) is dominant to constricted (i), coat color (black, C) is dominant to brown (c), and ",,,,
gen_00217,genetics,"In a plant, plant height (tall, T) is dominant to short (t), and wing shape (straight, W) is dominant to curled (w). The",,,,
gen_01302,enzymes,Which statement about what enzymes can and cannot do is correct?,,,,
gen_00697,cellular_respiration,What happens to cellular respiration when oxygen is not available?,,,,
gen_01042,cellular_respiration,Why does fermentation matter when oxygen is unavailable?,,,,
gen_00181,genetics,"In a plant, plant height (tall, T) is dominant to short (t), and seed color (yellow, A) is dominant to green (a). The ge",,,,
gen_00394,cellular_respiration,What is the direct role of oxygen in the electron transport chain?,,,,
gen_01328,cellular_respiration,Why does fermentation matter when oxygen is unavailable?,,,,
